x;y
0.0163934;1
0.0327869;1
0.0491803;1
0.0655738;1
0.0819672;1
0.0983607;1
0.114754;1
0.131148;1
0.147541;1
0.163934;1
0.180328;1
0.196721;1
0.213115;1
0.229508;1
0.245902;1
0.262295;1
0.278689;1
0.295082;1
0.311475;1
0.327869;1
0.344262;1
0.360656;1
0.377049;1
0.393443;1
0.409836;1
0.42623;1
0.442623;1
0.459016;1
0.47541;1
0.491803;1
0.508197;1
0.508197;0.96875
0.52459;0.969697
0.540984;0.970588
0.557377;0.971429
0.57377;0.972222
0.590164;0.972973
0.590164;0.947368
0.590164;0.923077
0.606557;0.925
0.622951;0.926829
0.622951;0.904762
0.639344;0.906977
0.639344;0.886364
0.639344;0.866667
0.655738;0.869565
0.672131;0.87234
0.672131;0.854167
0.688525;0.857143
0.688525;0.84
0.688525;0.823529
0.704918;0.826923
0.704918;0.811321
0.704918;0.796296
0.704918;0.781818
0.704918;0.767857
0.721311;0.77193
0.737705;0.775862
0.754098;0.779661
0.754098;0.766667
0.770492;0.770492
0.770492;0.758065
0.786885;0.761905
0.786885;0.75
0.786885;0.738462
0.786885;0.727273
0.786885;0.716418
0.786885;0.705882
0.803279;0.710145
0.803279;0.7
0.803279;0.690141
0.803279;0.680556
0.803279;0.671233
0.803279;0.662162
0.819672;0.666667
0.819672;0.657895
0.819672;0.649351
0.819672;0.641026
0.819672;0.632911
0.819672;0.625
0.819672;0.617284
0.819672;0.609756
0.819672;0.60241
0.836066;0.607143
0.836066;0.6
0.836066;0.593023
0.836066;0.586207
0.836066;0.579545
0.836066;0.573034
0.836066;0.566667
0.836066;0.56044
0.836066;0.554348
0.836066;0.548387
0.836066;0.542553
0.836066;0.536842
0.836066;0.53125
0.836066;0.525773
0.836066;0.520408
0.836066;0.515152
0.836066;0.51
0.836066;0.50495
0.836066;0.5
0.836066;0.495146
0.836066;0.490385
0.836066;0.485714
0.836066;0.481132
0.836066;0.476636
0.836066;0.472222
0.836066;0.46789
0.836066;0.463636
0.836066;0.459459
0.836066;0.455357
0.836066;0.451327
0.836066;0.447368
0.836066;0.443478
0.836066;0.439655
0.836066;0.435897
0.836066;0.432203
0.836066;0.428571
0.836066;0.425
0.836066;0.421488
0.836066;0.418033
0.836066;0.414634
0.836066;0.41129
0.836066;0.408
0.836066;0.404762
0.836066;0.401575
0.836066;0.398438
0.852459;0.403101
0.852459;0.4
0.868852;0.40458
0.868852;0.401515
0.868852;0.398496
0.868852;0.395522
0.885246;0.4
0.885246;0.397059
0.885246;0.394161
0.885246;0.391304
0.885246;0.388489
0.885246;0.385714
0.885246;0.382979
0.885246;0.380282
0.885246;0.377622
0.885246;0.375
0.885246;0.372414
0.885246;0.369863
0.885246;0.367347
0.885246;0.364865
0.885246;0.362416
0.885246;0.36
0.885246;0.357616
0.885246;0.355263
0.885246;0.352941
0.885246;0.350649
0.885246;0.348387
0.885246;0.346154
0.885246;0.343949
0.885246;0.341772
0.885246;0.339623
0.885246;0.3375
0.885246;0.335404
0.885246;0.333333
0.885246;0.331288
0.885246;0.329268
0.901639;0.333333
0.901639;0.331325
0.901639;0.329341
0.901639;0.327381
0.901639;0.325444
0.901639;0.323529
0.901639;0.321637
0.901639;0.319767
0.901639;0.317919
0.901639;0.316092
0.901639;0.314286
0.901639;0.3125
0.901639;0.310734
0.901639;0.308989
0.901639;0.307263
0.901639;0.305556
0.901639;0.303867
0.901639;0.302198
0.901639;0.300546
0.901639;0.298913
0.901639;0.297297
0.901639;0.295699
0.901639;0.294118
0.901639;0.292553
0.901639;0.291005
0.901639;0.289474
0.901639;0.287958
0.901639;0.286458
0.901639;0.284974
0.901639;0.283505
0.901639;0.282051
0.901639;0.280612
0.901639;0.279188
0.901639;0.277778
0.901639;0.276382
0.901639;0.275
0.901639;0.273632
0.901639;0.272277
0.901639;0.270936
0.901639;0.269608
0.901639;0.268293
0.901639;0.26699
0.901639;0.2657
0.901639;0.264423
0.901639;0.263158
0.901639;0.261905
0.901639;0.260664
0.918033;0.264151
0.918033;0.262911
0.918033;0.261682
0.918033;0.260465
0.918033;0.259259
0.918033;0.258065
0.918033;0.256881
0.918033;0.255708
0.918033;0.254545
0.918033;0.253394
0.918033;0.252252
0.918033;0.251121
0.918033;0.25
0.918033;0.248889
0.918033;0.247788
0.918033;0.246696
0.934426;0.25
0.934426;0.248908
0.934426;0.247826
0.934426;0.246753
0.934426;0.24569
0.934426;0.244635
0.934426;0.24359
0.934426;0.242553
0.934426;0.241525
0.934426;0.240506
0.934426;0.239496
0.934426;0.238494
0.934426;0.2375
0.934426;0.236515
0.934426;0.235537
0.934426;0.234568
0.934426;0.233607
0.934426;0.232653
0.934426;0.231707
