x;y
0.00492611;1
0.00985222;1
0.0147783;1
0.0197044;1
0.0246305;1
0.0295567;1
0.0344828;1
0.0394089;1
0.044335;1
0.0492611;1
0.0541872;1
0.0591133;1
0.0640394;1
0.0689655;1
0.0738916;1
0.0788177;1
0.0837438;1
0.08867;1
0.0935961;1
0.0985222;1
0.103448;1
0.108374;1
0.1133;1
0.118227;1
0.123153;1
0.128079;1
0.133005;1
0.137931;1
0.142857;1
0.147783;1
0.152709;1
0.157635;1
0.162562;1
0.167488;1
0.172414;1
0.17734;1
0.182266;1
0.187192;1
0.192118;1
0.197044;1
0.20197;1
0.20197;0.97619
0.206897;0.976744
0.206897;0.954545
0.211823;0.955556
0.216749;0.956522
0.216749;0.93617
0.221675;0.9375
0.226601;0.938776
0.231527;0.94
0.236453;0.941176
0.241379;0.942308
0.246305;0.943396
0.246305;0.925926
0.251232;0.927273
0.256158;0.928571
0.261084;0.929825
0.26601;0.931034
0.270936;0.932203
0.275862;0.933333
0.280788;0.934426
0.285714;0.935484
0.29064;0.936508
0.295567;0.9375
0.300493;0.938462
0.300493;0.924242
0.300493;0.910448
0.305419;0.911765
0.305419;0.898551
0.310345;0.9
0.315271;0.901408
0.320197;0.902778
0.325123;0.90411
0.330049;0.905405
0.334975;0.906667
0.339901;0.907895
0.344828;0.909091
0.344828;0.897436
0.349754;0.898734
0.35468;0.9
0.359606;0.901235
0.364532;0.902439
0.364532;0.891566
0.369458;0.892857
0.374384;0.894118
0.374384;0.883721
0.37931;0.885057
0.384236;0.886364
0.384236;0.876404
0.389163;0.877778
0.394089;0.879121
0.394089;0.869565
0.399015;0.870968
0.403941;0.87234
0.408867;0.873684
0.408867;0.864583
0.408867;0.85567
0.413793;0.857143
0.418719;0.858586
0.423645;0.86
0.428571;0.861386
0.433498;0.862745
0.438424;0.864078
0.438424;0.855769
0.438424;0.847619
0.438424;0.839623
0.44335;0.841121
0.448276;0.842593
0.453202;0.844037
0.453202;0.836364
0.458128;0.837838
0.463054;0.839286
0.46798;0.840708
0.472906;0.842105
0.477833;0.843478
0.482759;0.844828
0.487685;0.846154
0.487685;0.838983
0.492611;0.840336
0.497537;0.841667
0.502463;0.842975
0.502463;0.836066
0.502463;0.829268
0.502463;0.822581
0.507389;0.824
0.507389;0.81746
0.512315;0.818898
0.517241;0.820312
0.517241;0.813953
0.517241;0.807692
0.517241;0.801527
0.522167;0.80303
0.527094;0.804511
0.53202;0.80597
0.53202;0.8
0.53202;0.794118
0.53202;0.788321
0.536946;0.789855
0.541872;0.791367
0.541872;0.785714
0.546798;0.787234
0.551724;0.788732
0.55665;0.79021
0.561576;0.791667
0.566502;0.793103
0.571429;0.794521
0.576355;0.795918
0.576355;0.790541
0.576355;0.785235
0.581281;0.786667
0.586207;0.788079
0.586207;0.782895
0.586207;0.777778
0.586207;0.772727
0.591133;0.774194
0.596059;0.775641
0.596059;0.770701
0.600985;0.772152
0.600985;0.767296
0.600985;0.7625
0.600985;0.757764
0.600985;0.753086
0.605911;0.754601
0.610837;0.756098
