x;y
0.00408163;1
0.00816327;1
0.0122449;1
0.0163265;1
0.0204082;1
0.0244898;1
0.0285714;1
0.0326531;1
0.0367347;1
0.0408163;1
0.044898;1
0.0489796;1
0.0530612;1
0.0571429;1
0.0612245;1
0.0653061;1
0.0693878;1
0.0734694;1
0.077551;1
0.0816327;1
0.0857143;1
0.0897959;1
0.0938776;1
0.0979592;1
0.102041;1
0.106122;1
0.110204;1
0.114286;1
0.118367;1
0.122449;1
0.126531;1
0.130612;1
0.134694;1
0.138776;1
0.142857;1
0.146939;1
0.15102;1
0.155102;1
0.159184;1
0.163265;1
0.167347;1
0.171429;1
0.17551;1
0.179592;1
0.183673;1
0.187755;1
0.191837;1
0.195918;1
0.2;1
0.204082;1
0.208163;1
0.212245;1
0.216327;1
0.220408;1
0.22449;1
0.228571;1
0.232653;1
0.236735;1
0.240816;1
0.244898;1
0.24898;1
0.253061;1
0.257143;1
0.261224;1
0.265306;1
0.269388;1
0.273469;1
0.277551;1
0.281633;1
0.285714;1
0.289796;1
0.293878;1
0.297959;1
0.302041;1
0.306122;1
0.310204;1
0.314286;1
0.318367;1
0.322449;1
0.326531;1
0.330612;1
0.334694;1
0.338776;1
0.342857;1
0.346939;1
0.35102;1
0.355102;1
0.359184;1
0.363265;1
0.367347;1
0.371429;1
0.37551;1
0.379592;1
0.383673;1
0.387755;1
0.391837;1
0.395918;1
0.4;1
0.404082;1
0.408163;1
0.412245;1
0.416327;1
0.420408;1
0.42449;1
0.428571;1
0.432653;1
0.436735;1
0.440816;1
0.444898;1
0.44898;1
0.453061;1
0.457143;1
0.461224;1
0.465306;1
0.469388;1
0.473469;1
0.477551;1
0.481633;1
0.485714;1
0.489796;1
0.493878;1
0.497959;1
0.502041;1
0.506122;1
0.510204;1
0.514286;1
0.518367;1
0.522449;1
0.526531;1
0.530612;1
0.534694;1
0.538776;1
0.542857;1
0.546939;1
0.55102;1
0.555102;1
0.559184;1
0.563265;1
0.567347;1
0.571429;1
0.57551;1
0.579592;1
0.583673;1
0.587755;1
0.591837;1
0.595918;1
0.6;1
0.604082;1
0.608163;1
0.612245;1
0.616327;1
0.620408;1
0.62449;1
0.628571;1
0.632653;1
0.636735;1
0.640816;1
0.644898;1
0.64898;1
0.653061;1
0.657143;1
0.661224;1
0.665306;1
0.669388;1
0.673469;1
0.677551;1
0.681633;1
0.685714;1
0.689796;1
0.693878;1
0.697959;1
0.702041;1
0.706122;1
0.710204;1
0.714286;1
0.714286;0.994318
0.718367;0.99435
0.718367;0.988764
0.722449;0.988827
0.726531;0.988889
0.726531;0.983425
0.730612;0.983516
0.734694;0.983607
0.738776;0.983696
0.742857;0.983784
0.742857;0.978495
0.746939;0.97861
0.75102;0.978723
0.755102;0.978836
0.759184;0.978947
0.763265;0.979058
0.763265;0.973958
0.767347;0.974093
0.771429;0.974227
0.77551;0.974359
0.779592;0.97449
0.779592;0.969543
0.783673;0.969697
0.787755;0.969849
0.787755;0.965
0.791837;0.965174
0.795918;0.965347
0.8;0.965517
0.804082;0.965686
0.808163;0.965854
0.812245;0.966019
0.812245;0.961353
0.812245;0.956731
0.816327;0.956938
0.820408;0.957143
0.82449;0.957346
0.828571;0.957547
0.832653;0.957746
0.836735;0.957944
0.840816;0.95814
0.840816;0.953704
0.844898;0.953917
0.844898;0.949541
0.84898;0.949772
0.853061;0.95
0.857143;0.950226
0.861224;0.95045
0.865306;0.950673
0.869388;0.950893
0.869388;0.946667
0.873469;0.946903
0.877551;0.947137
0.877551;0.942982
0.881633;0.943231
0.885714;0.943478
0.889796;0.943723
0.893878;0.943966
0.893878;0.939914
0.893878;0.935897
0.893878;0.931915
0.893878;0.927966
0.893878;0.924051
0.893878;0.920168
0.897959;0.920502
0.897959;0.916667
0.902041;0.917012
0.906122;0.917355
0.906122;0.91358
0.906122;0.909836
0.910204;0.910204
0.910204;0.906504
0.914286;0.906883
0.914286;0.903226
0.914286;0.899598
0.914286;0.896
0.914286;0.89243
0.914286;0.888889
0.914286;0.885375
0.918367;0.885827
0.922449;0.886275
0.922449;0.882812
0.926531;0.883268
0.926531;0.879845
0.926531;0.876448
0.926531;0.873077
0.926531;0.869732
0.926531;0.866412
0.926531;0.863118
0.926531;0.859848
0.926531;0.856604
0.926531;0.853383
0.926531;0.850187
0.930612;0.850746
