x;y
0.00425532;1
0.00851064;1
0.012766;1
0.0170213;1
0.0212766;1
0.0255319;1
0.0297872;1
0.0340426;1
0.0382979;1
0.0425532;1
0.0468085;1
0.0510638;1
0.0553191;1
0.0595745;1
0.0638298;1
0.0680851;1
0.0723404;1
0.0765957;1
0.0808511;1
0.0851064;1
0.0893617;1
0.093617;1
0.0978723;1
0.102128;1
0.106383;1
0.110638;1
0.114894;1
0.119149;1
0.123404;1
0.12766;1
0.131915;1
0.13617;1
0.140426;1
0.144681;1
0.148936;1
0.153191;1
0.157447;1
0.161702;1
0.165957;1
0.170213;1
0.174468;1
0.178723;1
0.182979;1
0.187234;1
0.191489;1
0.195745;1
0.2;1
0.204255;1
0.208511;1
0.212766;1
0.217021;1
0.221277;1
0.225532;1
0.229787;1
0.234043;1
0.238298;1
0.242553;1
0.246809;1
0.251064;1
0.255319;1
0.259574;1
0.26383;1
0.268085;1
0.27234;1
0.276596;1
0.280851;1
0.285106;1
0.289362;1
0.293617;1
0.297872;1
0.302128;1
0.306383;1
0.310638;1
0.314894;1
0.319149;1
0.323404;1
0.32766;1
0.331915;1
0.33617;1
0.340426;1
0.344681;1
0.348936;1
0.353191;1
0.357447;1
0.361702;1
0.365957;1
0.370213;1
0.374468;1
0.378723;1
0.382979;1
0.387234;1
0.391489;1
0.395745;1
0.4;1
0.404255;1
0.408511;1
0.412766;1
0.417021;1
0.421277;1
0.425532;1
0.429787;1
0.434043;1
0.438298;1
0.442553;1
0.446809;1
0.451064;1
0.455319;1
0.459574;1
0.46383;1
0.468085;1
0.47234;1
0.476596;1
0.480851;1
0.485106;1
0.489362;1
0.493617;1
0.497872;1
0.497872;0.991525
0.502128;0.991597
0.506383;0.991667
0.510638;0.991736
0.514894;0.991803
0.519149;0.99187
0.523404;0.991935
0.52766;0.992
0.531915;0.992063
0.53617;0.992126
0.540426;0.992188
0.544681;0.992248
0.548936;0.992308
0.553191;0.992366
0.557447;0.992424
0.561702;0.992481
0.565957;0.992537
0.570213;0.992593
0.574468;0.992647
0.578723;0.992701
0.578723;0.985507
0.582979;0.985612
0.587234;0.985714
0.591489;0.985816
0.595745;0.985915
0.6;0.986014
0.604255;0.986111
0.608511;0.986207
0.612766;0.986301
0.617021;0.986395
0.621277;0.986486
0.625532;0.986577
0.629787;0.986667
0.634043;0.986755
0.638298;0.986842
0.642553;0.986928
0.646809;0.987013
0.651064;0.987097
0.655319;0.987179
0.659574;0.987261
0.659574;0.981013
0.659574;0.974843
