x;y
0.00142045;1
0.00284091;1
0.00426136;1
0.00568182;1
0.00710227;1
0.00852273;1
0.00994318;1
0.0113636;1
0.0127841;1
0.0142045;1
0.015625;1
0.0170455;1
0.0184659;1
0.0198864;1
0.0213068;1
0.0227273;1
0.0241477;1
0.0255682;1
0.0269886;1
0.0284091;1
0.0298295;1
0.03125;1
0.0326705;1
0.0340909;1
0.0355114;1
0.0369318;1
0.0383523;1
0.0397727;1
0.0411932;1
0.0426136;1
0.0440341;1
0.0454545;1
0.046875;1
0.0482955;1
0.0497159;1
0.0511364;1
0.0525568;1
0.0539773;1
0.0553977;1
0.0568182;1
0.0582386;1
0.0596591;1
0.0610795;1
0.0625;1
0.0639205;1
0.0653409;1
0.0667614;1
0.0681818;1
0.0696023;1
0.0710227;1
0.0724432;1
0.0738636;1
0.0752841;1
0.0767045;1
0.078125;1
0.0795455;1
0.0809659;1
0.0823864;1
0.0838068;1
0.0852273;1
0.0866477;1
0.0880682;1
0.0894886;1
0.0909091;1
0.0923295;1
0.09375;1
0.0951705;1
0.0965909;1
0.0980114;1
0.0994318;1
0.100852;1
0.102273;1
0.103693;1
0.105114;1
0.106534;1
0.107955;1
0.109375;1
0.110795;1
0.112216;1
0.113636;1
0.115057;1
0.116477;1
0.117898;1
0.119318;1
0.120739;1
0.122159;1
0.12358;1
0.125;1
0.12642;1
0.127841;1
0.129261;1
0.130682;1
0.132102;1
0.133523;1
0.134943;1
0.136364;1
0.137784;1
0.139205;1
0.140625;1
0.142045;1
0.143466;1
0.144886;1
0.146307;1
0.147727;1
0.149148;1
0.150568;1
0.151989;1
0.153409;1
0.15483;1
0.15625;1
0.15767;1
0.159091;1
0.160511;1
0.161932;1
0.163352;1
0.164773;1
0.166193;1
0.167614;1
0.169034;1
0.170455;1
0.171875;1
0.173295;1
0.174716;1
0.176136;1
0.177557;1
0.178977;1
0.180398;1
0.181818;1
0.183239;1
0.184659;1
0.18608;1
0.1875;1
0.18892;1
0.190341;1
0.191761;1
0.193182;1
0.194602;1
0.196023;1
0.197443;1
0.198864;1
0.200284;1
0.201705;1
0.203125;1
0.204545;1
0.205966;1
0.207386;1
0.208807;1
0.210227;1
0.211648;1
0.213068;1
0.214489;1
0.215909;1
0.21733;1
0.21875;1
0.22017;1
0.221591;1
0.223011;1
0.224432;1
0.225852;1
0.227273;1
0.228693;1
0.230114;1
0.231534;1
0.232955;1
0.234375;1
0.235795;1
0.237216;1
0.238636;1
0.240057;1
0.241477;1
0.242898;1
0.244318;1
0.245739;1
0.247159;1
0.24858;1
0.25;1
0.25142;1
0.252841;1
0.254261;1
0.255682;1
0.257102;1
0.258523;1
0.259943;1
0.261364;1
0.262784;1
0.264205;1
0.265625;1
0.267045;1
0.268466;1
0.269886;1
0.271307;1
0.272727;1
0.274148;1
0.275568;1
0.276989;1
0.278409;1
0.27983;1
0.28125;1
0.28267;1
0.284091;1
0.285511;1
0.286932;1
0.288352;1
0.289773;1
0.291193;1
0.292614;1
0.294034;1
0.295455;1
0.296875;1
0.298295;1
0.299716;1
0.301136;1
0.302557;1
0.303977;1
0.305398;1
0.306818;1
0.308239;1
0.309659;1
0.31108;1
0.3125;1
0.31392;1
0.315341;1
0.316761;1
0.318182;1
0.319602;1
0.321023;1
0.322443;1
0.323864;1
0.325284;1
0.326705;1
0.328125;1
0.329545;1
0.330966;1
0.332386;1
0.333807;1
0.335227;1
0.336648;1
0.338068;1
0.339489;1
0.340909;1
0.34233;1
0.34375;1
0.34517;1
0.346591;1
0.348011;1
0.349432;1
0.350852;1
0.352273;1
0.353693;1
0.355114;1
0.356534;1
0.357955;1
0.359375;1
0.360795;1
0.362216;1
0.363636;1
0.365057;1
0.366477;1
0.367898;1
0.369318;1
0.370739;1
0.372159;1
0.37358;1
0.375;1
0.37642;1
0.377841;1
0.379261;1
0.380682;1
0.382102;1
0.383523;1
0.384943;1
0.386364;1
0.387784;1
0.389205;1
0.390625;1
0.392045;1
0.393466;1
0.394886;1
0.396307;1
0.397727;1
0.399148;1
0.400568;1
0.401989;1
0.403409;1
0.40483;1
0.40625;1
0.40767;1
0.409091;1
0.410511;1
0.411932;1
0.413352;1
