x;y
0.0104167;1
0.0208333;1
0.03125;1
0.0416667;1
0.0520833;1
0.0625;1
0.0729167;1
0.0833333;1
0.09375;1
0.104167;1
0.114583;1
0.125;1
0.135417;1
0.145833;1
0.15625;1
0.166667;1
0.177083;1
0.1875;1
0.197917;1
0.208333;1
0.21875;1
0.229167;1
0.239583;1
0.25;1
0.260417;1
0.270833;1
0.28125;1
0.291667;1
0.302083;1
0.3125;1
0.322917;1
0.333333;1
0.34375;1
0.354167;1
0.354167;0.971429
0.354167;0.944444
0.364583;0.945946
0.375;0.947368
0.385417;0.948718
0.385417;0.925
0.385417;0.902439
0.385417;0.880952
0.385417;0.860465
0.385417;0.840909
0.395833;0.844444
0.395833;0.826087
0.395833;0.808511
0.395833;0.791667
0.395833;0.77551
0.40625;0.78
0.416667;0.784314
0.427083;0.788462
0.4375;0.792453
0.4375;0.777778
0.4375;0.763636
0.4375;0.75
0.4375;0.736842
0.4375;0.724138
0.4375;0.711864
0.4375;0.7
0.4375;0.688525
0.4375;0.677419
0.447917;0.68254
0.447917;0.671875
0.458333;0.676923
0.458333;0.666667
0.458333;0.656716
0.458333;0.647059
0.458333;0.637681
0.458333;0.628571
0.46875;0.633803
0.46875;0.625
0.46875;0.616438
0.479167;0.621622
0.479167;0.613333
0.479167;0.605263
0.479167;0.597403
0.489583;0.602564
0.489583;0.594937
0.489583;0.5875
0.489583;0.580247
0.489583;0.573171
0.489583;0.566265
0.489583;0.559524
0.489583;0.552941
0.489583;0.546512
0.489583;0.54023
0.489583;0.534091
0.489583;0.52809
0.489583;0.522222
0.5;0.527473
0.5;0.521739
0.5;0.516129
0.510417;0.521277
0.510417;0.515789
0.510417;0.510417
0.510417;0.505155
0.510417;0.5
0.510417;0.494949
0.510417;0.49
0.510417;0.485149
0.510417;0.480392
0.510417;0.475728
0.510417;0.471154
0.510417;0.466667
0.510417;0.462264
0.510417;0.457944
0.520833;0.462963
0.520833;0.458716
0.520833;0.454545
0.520833;0.45045
0.53125;0.455357
0.53125;0.451327
0.53125;0.447368
0.53125;0.443478
0.53125;0.439655
0.53125;0.435897
0.53125;0.432203
0.53125;0.428571
0.53125;0.425
0.53125;0.421488
0.53125;0.418033
0.53125;0.414634
0.53125;0.41129
0.53125;0.408
0.53125;0.404762
0.53125;0.401575
0.53125;0.398438
0.53125;0.395349
0.53125;0.392308
0.53125;0.389313
0.53125;0.386364
0.53125;0.383459
0.541667;0.38806
0.541667;0.385185
0.541667;0.382353
0.541667;0.379562
0.541667;0.376812
0.541667;0.374101
0.541667;0.371429
0.552083;0.375887
0.552083;0.373239
0.552083;0.370629
