x;y
0.0169492;1
0.0338983;1
0.0508475;1
0.0677966;1
0.0847458;1
0.101695;1
0.118644;1
0.135593;1
0.152542;1
0.169492;1
0.169492;0.909091
0.169492;0.833333
0.169492;0.769231
0.186441;0.785714
0.186441;0.733333
0.20339;0.75
0.220339;0.764706
0.220339;0.722222
0.220339;0.684211
0.220339;0.65
0.220339;0.619048
0.237288;0.636364
0.237288;0.608696
0.237288;0.583333
0.237288;0.56
0.237288;0.538462
0.237288;0.518519
0.237288;0.5
0.254237;0.517241
0.254237;0.5
0.254237;0.483871
0.254237;0.46875
0.254237;0.454545
0.271186;0.470588
0.288136;0.485714
0.288136;0.472222
0.288136;0.459459
0.288136;0.447368
0.288136;0.435897
0.288136;0.425
0.288136;0.414634
0.288136;0.404762
0.288136;0.395349
0.288136;0.386364
0.288136;0.377778
0.288136;0.369565
0.305085;0.382979
0.322034;0.395833
0.322034;0.387755
0.338983;0.4
0.338983;0.392157
0.338983;0.384615
0.355932;0.396226
0.372881;0.407407
0.372881;0.4
0.372881;0.392857
0.372881;0.385965
0.389831;0.396552
0.389831;0.389831
0.389831;0.383333
0.389831;0.377049
0.389831;0.370968
0.389831;0.365079
0.389831;0.359375
0.389831;0.353846
0.389831;0.348485
0.40678;0.358209
0.40678;0.352941
0.40678;0.347826
0.40678;0.342857
0.423729;0.352113
0.423729;0.347222
0.423729;0.342466
0.423729;0.337838
0.440678;0.346667
0.440678;0.342105
0.440678;0.337662
0.457627;0.346154
0.457627;0.341772
0.457627;0.3375
0.457627;0.333333
0.474576;0.341463
0.491525;0.349398
0.491525;0.345238
0.491525;0.341176
0.491525;0.337209
0.491525;0.333333
0.508475;0.340909
0.508475;0.337079
0.508475;0.333333
0.508475;0.32967
0.508475;0.326087
0.508475;0.322581
0.508475;0.319149
0.508475;0.315789
0.508475;0.3125
0.508475;0.309278
0.508475;0.306122
0.508475;0.30303
0.508475;0.3
0.508475;0.29703
0.508475;0.294118
0.508475;0.291262
0.508475;0.288462
0.525424;0.295238
0.525424;0.292453
0.525424;0.28972
0.525424;0.287037
0.525424;0.284404
0.525424;0.281818
0.542373;0.288288
0.559322;0.294643
0.559322;0.292035
0.559322;0.289474
0.576271;0.295652
0.576271;0.293103
0.576271;0.290598
0.576271;0.288136
0.576271;0.285714
0.576271;0.283333
0.576271;0.280992
0.576271;0.278689
0.576271;0.276423
0.59322;0.282258
0.59322;0.28
0.59322;0.277778
0.59322;0.275591
0.59322;0.273438
0.59322;0.271318
0.59322;0.269231
0.59322;0.267176
0.59322;0.265152
0.59322;0.263158
0.59322;0.261194
0.59322;0.259259
0.59322;0.257353
0.59322;0.255474
0.59322;0.253623
0.59322;0.251799
0.59322;0.25
0.59322;0.248227
0.59322;0.246479
0.59322;0.244755
0.59322;0.243056
