x;y
0;0
0.0285714;0.5
0.0285714;0.333333
0.0571429;0.5
0.0571429;0.4
0.0571429;0.333333
0.0571429;0.285714
0.0571429;0.25
0.0571429;0.222222
0.0571429;0.2
0.0571429;0.181818
0.0571429;0.166667
0.0571429;0.153846
0.0571429;0.142857
0.0571429;0.133333
0.0571429;0.125
0.0571429;0.117647
0.0571429;0.111111
0.0571429;0.105263
0.0571429;0.1
0.0571429;0.0952381
0.0571429;0.0909091
0.0571429;0.0869565
0.0571429;0.0833333
0.0571429;0.08
0.0571429;0.0769231
0.0571429;0.0740741
0.0571429;0.0714286
0.0571429;0.0689655
0.0571429;0.0666667
0.0571429;0.0645161
0.0857143;0.09375
0.0857143;0.0909091
0.0857143;0.0882353
0.114286;0.114286
0.114286;0.111111
0.114286;0.108108
0.114286;0.105263
0.114286;0.102564
0.114286;0.1
0.114286;0.097561
0.114286;0.0952381
0.114286;0.0930233
0.114286;0.0909091
0.114286;0.0888889
0.114286;0.0869565
0.114286;0.0851064
0.142857;0.104167
0.142857;0.102041
0.171429;0.12
0.171429;0.117647
0.171429;0.115385
0.171429;0.113208
0.171429;0.111111
0.171429;0.109091
0.171429;0.107143
0.171429;0.105263
0.171429;0.103448
0.171429;0.101695
0.171429;0.1
0.171429;0.0983607
0.171429;0.0967742
0.171429;0.0952381
0.171429;0.09375
0.171429;0.0923077
0.171429;0.0909091
0.171429;0.0895522
0.171429;0.0882353
0.171429;0.0869565
0.171429;0.0857143
0.171429;0.084507
0.171429;0.0833333
0.171429;0.0821918
0.171429;0.0810811
0.171429;0.08
0.171429;0.0789474
0.171429;0.0779221
0.171429;0.0769231
0.171429;0.0759494
0.171429;0.075
0.171429;0.0740741
0.171429;0.0731707
0.171429;0.0722892
0.171429;0.0714286
0.2;0.0823529
0.2;0.0813953
0.2;0.0804598
0.2;0.0795455
0.2;0.0786517
0.2;0.0777778
0.2;0.0769231
0.228571;0.0869565
0.228571;0.0860215
0.228571;0.0851064
0.228571;0.0842105
0.228571;0.0833333
0.228571;0.0824742
0.228571;0.0816327
0.228571;0.0808081
0.228571;0.08
0.228571;0.0792079
0.228571;0.0784314
0.228571;0.0776699
0.228571;0.0769231
0.228571;0.0761905
0.228571;0.0754717
0.228571;0.0747664
0.228571;0.0740741
0.228571;0.0733945
0.228571;0.0727273
0.228571;0.0720721
0.228571;0.0714286
0.228571;0.0707965
0.228571;0.0701754
0.228571;0.0695652
0.228571;0.0689655
0.228571;0.0683761
0.228571;0.0677966
0.228571;0.0672269
0.228571;0.0666667
0.228571;0.0661157
0.228571;0.0655738
0.228571;0.0650407
0.257143;0.0725806
0.257143;0.072
0.257143;0.0714286
0.257143;0.0708661
0.285714;0.078125
0.285714;0.0775194
0.285714;0.0769231
0.285714;0.0763359
0.285714;0.0757576
0.285714;0.075188
0.285714;0.0746269
0.285714;0.0740741
0.285714;0.0735294
0.285714;0.0729927
0.285714;0.0724638
0.285714;0.0719424
0.285714;0.0714286
0.285714;0.070922
0.285714;0.0704225
0.285714;0.0699301
0.285714;0.0694444
0.285714;0.0689655
0.285714;0.0684932
0.285714;0.0680272
0.285714;0.0675676
0.285714;0.0671141
0.285714;0.0666667
0.285714;0.0662252
0.285714;0.0657895
0.285714;0.0653595
0.285714;0.0649351
0.285714;0.0645161
0.285714;0.0641026
0.285714;0.0636943
0.285714;0.0632911
0.285714;0.0628931
0.285714;0.0625
0.314286;0.068323
0.314286;0.0679012
0.314286;0.0674847
0.314286;0.0670732
0.314286;0.0666667
0.314286;0.0662651
0.314286;0.0658683
0.314286;0.0654762
0.314286;0.0650888
0.314286;0.0647059
0.314286;0.0643275
0.314286;0.0639535
0.342857;0.0693642
0.342857;0.0689655
0.342857;0.0685714
0.342857;0.0681818
0.342857;0.0677966
0.342857;0.0674157
0.342857;0.0670391
0.342857;0.0666667
0.342857;0.0662983
0.342857;0.0659341
0.342857;0.0655738
0.342857;0.0652174
0.342857;0.0648649
0.342857;0.0645161
0.342857;0.0641711
0.342857;0.0638298
0.342857;0.0634921
0.342857;0.0631579
0.342857;0.0628272
0.342857;0.0625
0.342857;0.0621762
0.342857;0.0618557
0.342857;0.0615385
0.342857;0.0612245
0.342857;0.0609137
0.342857;0.0606061
0.342857;0.0603015
0.342857;0.06
0.342857;0.0597015
0.342857;0.0594059
0.342857;0.0591133
0.371429;0.0637255
0.371429;0.0634146
0.371429;0.0631068
0.371429;0.0628019
0.371429;0.0625
