x;y
0.00392157;1
0.00784314;1
0.0117647;1
0.0156863;1
0.0196078;1
0.0235294;1
0.027451;1
0.0313725;1
0.0352941;1
0.0392157;1
0.0431373;1
0.0470588;1
0.0509804;1
0.054902;1
0.0588235;1
0.0627451;1
0.0666667;1
0.0705882;1
0.0745098;1
0.0784314;1
0.0823529;1
0.0862745;1
0.0901961;1
0.0941176;1
0.0980392;1
0.101961;1
0.105882;1
0.109804;1
0.113725;1
0.117647;1
0.121569;1
0.12549;1
0.129412;1
0.133333;1
0.137255;1
0.141176;1
0.145098;1
0.14902;1
0.152941;1
0.156863;1
0.160784;1
0.164706;1
0.168627;1
0.172549;1
0.176471;1
0.180392;1
0.184314;1
0.188235;1
0.192157;1
0.196078;1
0.2;1
0.203922;1
0.207843;1
0.211765;1
0.215686;1
0.219608;1
0.223529;1
0.227451;1
0.231373;1
0.235294;1
0.239216;1
0.243137;1
0.247059;1
0.25098;1
0.254902;1
0.258824;1
0.262745;1
0.266667;1
0.270588;1
0.27451;1
0.278431;1
0.282353;1
0.286275;1
0.290196;1
0.294118;1
0.298039;1
0.301961;1
0.305882;1
0.309804;1
0.313725;1
0.317647;1
0.321569;1
0.32549;1
0.329412;1
0.333333;1
0.337255;1
0.341176;1
0.345098;1
0.34902;1
0.352941;1
0.356863;1
0.360784;1
0.364706;1
0.368627;1
0.372549;1
0.376471;1
0.380392;1
0.384314;1
0.388235;1
0.392157;1
0.396078;1
0.4;1
0.403922;1
0.407843;1
0.411765;1
0.415686;1
0.419608;1
0.423529;1
0.427451;1
0.431373;1
0.435294;1
0.439216;1
0.443137;1
0.447059;1
0.45098;1
0.454902;1
0.458824;1
0.462745;1
0.466667;1
0.470588;1
0.47451;1
0.478431;1
0.482353;1
0.486275;1
0.490196;1
0.494118;1
0.498039;1
0.501961;1
0.505882;1
0.509804;1
0.513725;1
0.517647;1
0.521569;1
0.52549;1
0.529412;1
0.533333;1
0.537255;1
0.541176;1
0.545098;1
0.54902;1
0.552941;1
0.556863;1
0.560784;1
0.564706;1
0.568627;1
0.572549;1
0.576471;1
0.580392;1
0.584314;1
0.588235;1
0.592157;1
0.596078;1
0.6;1
0.603922;1
0.607843;1
0.611765;1
0.615686;1
0.619608;1
0.623529;1
0.627451;1
0.631373;1
0.635294;1
0.639216;1
0.643137;1
0.647059;1
0.65098;1
0.654902;1
0.658824;1
0.662745;1
0.666667;1
0.670588;1
0.67451;1
0.678431;1
0.682353;1
0.686275;1
0.690196;1
0.694118;1
0.698039;1
0.701961;1
0.705882;1
0.709804;1
0.713725;1
0.717647;1
0.721569;1
0.72549;1
0.729412;1
0.733333;1
0.737255;1
0.737255;0.994709
0.741176;0.994737
0.745098;0.994764
0.745098;0.989583
0.74902;0.989637
0.752941;0.989691
0.756863;0.989744
0.760784;0.989796
0.760784;0.984772
0.764706;0.984848
0.768627;0.984925
0.772549;0.985
0.776471;0.985075
0.780392;0.985149
0.780392;0.980296
0.784314;0.980392
0.788235;0.980488
0.792157;0.980583
0.792157;0.975845
0.792157;0.971154
0.796078;0.971292
0.796078;0.966667
0.8;0.966825
0.8;0.962264
0.8;0.957746
0.803922;0.957944
0.803922;0.953488
0.807843;0.953704
0.811765;0.953917
0.815686;0.954128
0.815686;0.949772
0.815686;0.945455
0.815686;0.941176
0.815686;0.936937
0.815686;0.932735
0.819608;0.933036
0.823529;0.933333
0.823529;0.929204
0.823529;0.92511
0.823529;0.921053
0.823529;0.917031
0.823529;0.913043
0.823529;0.909091
0.827451;0.909483
0.827451;0.905579
0.827451;0.901709
0.827451;0.897872
0.827451;0.894068
0.827451;0.890295
0.827451;0.886555
0.827451;0.882845
0.827451;0.879167
0.831373;0.879668
0.831373;0.876033
0.831373;0.872428
0.835294;0.872951
0.839216;0.873469
0.839216;0.869919
0.839216;0.866397
0.843137;0.866935
0.843137;0.863454
0.843137;0.86
0.843137;0.856574
0.843137;0.853175
0.843137;0.849802
0.843137;0.846457
0.847059;0.847059
0.85098;0.847656
0.85098;0.844358
0.85098;0.841085
0.85098;0.837838
0.85098;0.834615
0.85098;0.831418
0.85098;0.828244
0.85098;0.825095
0.854902;0.825758
0.854902;0.822642
0.854902;0.819549
0.854902;0.816479
0.858824;0.817164
0.858824;0.814126
0.858824;0.811111
0.858824;0.808118
0.858824;0.805147
0.858824;0.802198
0.858824;0.79927
0.858824;0.796364
0.858824;0.793478
0.858824;0.790614
0.858824;0.78777
0.862745;0.78853
0.862745;0.785714
0.862745;0.782918
0.862745;0.780142
0.862745;0.777385
0.862745;0.774648
0.862745;0.77193
0.862745;0.769231
0.862745;0.766551
0.862745;0.763889
0.862745;0.761246
0.862745;0.758621
0.862745;0.756014
0.862745;0.753425
0.866667;0.754266
0.866667;0.751701
0.866667;0.749153
0.866667;0.746622
0.866667;0.744108
0.870588;0.744966
0.870588;0.742475
0.870588;0.74
0.870588;0.737542
0.870588;0.735099
0.870588;0.732673
0.870588;0.730263
0.870588;0.727869
0.870588;0.72549
0.870588;0.723127
0.870588;0.720779
0.870588;0.718447
0.870588;0.716129
0.87451;0.717042
0.87451;0.714744
0.87451;0.71246
0.87451;0.710191
0.87451;0.707937
0.87451;0.705696
0.87451;0.70347
0.878431;0.704403
0.878431;0.702194
0.878431;0.7
0.878431;0.697819
0.878431;0.695652
0.878431;0.693498
0.878431;0.691358
0.878431;0.689231
0.878431;0.687117
0.878431;0.685015
0.882353;0.685976
0.882353;0.683891
0.882353;0.681818
0.882353;0.679758
0.882353;0.677711
0.882353;0.675676
0.886275;0.676647
0.886275;0.674627
0.886275;0.672619
0.886275;0.670623
0.886275;0.668639
0.886275;0.666667
0.886275;0.664706
0.886275;0.662757
0.890196;0.663743
0.890196;0.661808
0.890196;0.659884
0.890196;0.657971
0.890196;0.656069
0.890196;0.654179
0.890196;0.652299
0.890196;0.65043
0.890196;0.648571
0.890196;0.646724
0.890196;0.644886
0.890196;0.643059
0.890196;0.641243
0.890196;0.639437
0.890196;0.63764
0.894118;0.638655
0.898039;0.639665
0.898039;0.637883
0.898039;0.636111
0.898039;0.634349
0.898039;0.632597
0.898039;0.630854
0.898039;0.629121
