x;y
0.00416667;1
0.00833333;1
0.0125;1
0.0166667;1
0.0208333;1
0.025;1
0.0291667;1
0.0333333;1
0.0375;1
0.0416667;1
0.0458333;1
0.05;1
0.0541667;1
0.0583333;1
0.0625;1
0.0666667;1
0.0708333;1
0.075;1
0.0791667;1
0.0833333;1
0.0875;1
0.0916667;1
0.0958333;1
0.1;1
0.104167;1
0.108333;1
0.1125;1
0.116667;1
0.120833;1
0.125;1
0.129167;1
0.133333;1
0.1375;1
0.141667;1
0.145833;1
0.15;1
0.154167;1
0.158333;1
0.1625;1
0.166667;1
0.170833;1
0.175;1
0.179167;1
0.183333;1
0.1875;1
0.191667;1
0.195833;1
0.2;1
0.204167;1
0.208333;1
0.2125;1
0.216667;1
0.220833;1
0.225;1
0.229167;1
0.233333;1
0.2375;1
0.241667;1
0.245833;1
0.25;1
0.254167;1
0.258333;1
0.2625;1
0.266667;1
0.270833;1
0.275;1
0.279167;1
0.283333;1
0.2875;1
0.291667;1
0.295833;1
0.3;1
0.304167;1
0.308333;1
0.3125;1
0.316667;1
0.320833;1
0.325;1
0.329167;1
0.333333;1
0.3375;1
0.341667;1
0.345833;1
0.35;1
0.354167;1
0.358333;1
0.3625;1
0.366667;1
0.370833;1
0.375;1
0.379167;1
0.383333;1
0.3875;1
0.391667;1
0.391667;0.989474
0.395833;0.989583
0.4;0.989691
0.404167;0.989796
0.408333;0.989899
0.4125;0.99
0.416667;0.990099
0.420833;0.990196
0.425;0.990291
0.429167;0.990385
0.433333;0.990476
0.4375;0.990566
0.441667;0.990654
0.445833;0.990741
0.45;0.990826
0.454167;0.990909
0.458333;0.990991
0.4625;0.991071
0.466667;0.99115
0.470833;0.991228
0.475;0.991304
0.479167;0.991379
0.483333;0.991453
0.4875;0.991525
0.491667;0.991597
0.495833;0.991667
0.5;0.991736
0.504167;0.991803
0.508333;0.99187
0.5125;0.991935
0.516667;0.992
0.520833;0.992063
0.525;0.992126
0.525;0.984375
0.529167;0.984496
0.533333;0.984615
