x;y
0.00273973;1
0.00547945;1
0.00821918;1
0.0109589;1
0.0136986;1
0.0164384;1
0.0191781;1
0.0219178;1
0.0246575;1
0.0273973;1
0.030137;1
0.0328767;1
0.0356164;1
0.0383562;1
0.0410959;1
0.0438356;1
0.0465753;1
0.0493151;1
0.0520548;1
0.0547945;1
0.0575342;1
0.060274;1
0.0630137;1
0.0657534;1
0.0684932;1
0.0712329;1
0.0739726;1
0.0767123;1
0.0794521;1
0.0821918;1
0.0849315;1
0.0876712;1
0.090411;1
0.0931507;1
0.0958904;1
0.0986301;1
0.10137;1
0.10411;1
0.106849;1
0.109589;1
0.112329;1
0.115068;1
0.117808;1
0.120548;1
0.123288;1
0.126027;1
0.128767;1
0.131507;1
0.134247;1
0.136986;1
0.139726;1
0.142466;1
0.145205;1
0.147945;1
0.150685;1
0.153425;1
0.156164;1
0.158904;1
0.161644;1
0.164384;1
0.167123;1
0.169863;1
0.172603;1
0.175342;1
0.178082;1
0.180822;1
0.183562;1
0.186301;1
0.189041;1
0.191781;1
0.194521;1
0.19726;1
0.2;1
0.20274;1
0.205479;1
0.208219;1
0.210959;1
0.213699;1
0.216438;1
0.219178;1
0.221918;1
0.224658;1
0.227397;1
0.230137;1
0.232877;1
0.235616;1
0.238356;1
0.241096;1
0.243836;1
0.246575;1
0.249315;1
0.252055;1
0.254795;1
0.257534;1
0.260274;1
0.263014;1
0.265753;1
0.268493;1
0.271233;1
0.273973;1
0.276712;1
0.279452;1
0.282192;1
0.284932;1
0.287671;1
0.290411;1
0.293151;1
0.29589;1
0.29863;1
0.30137;1
0.30411;1
0.306849;1
0.309589;1
0.312329;1
0.315068;1
0.317808;1
0.320548;1
0.323288;1
0.326027;1
0.328767;1
0.331507;1
0.334247;1
0.336986;1
0.339726;1
0.342466;1
0.345205;1
0.347945;1
0.350685;1
0.353425;1
0.353425;0.992308
0.356164;0.992366
0.358904;0.992424
0.361644;0.992481
0.364384;0.992537
0.367123;0.992593
0.369863;0.992647
0.372603;0.992701
0.375342;0.992754
0.378082;0.992806
0.380822;0.992857
0.383562;0.992908
0.386301;0.992958
0.389041;0.993007
0.391781;0.993056
0.394521;0.993103
0.39726;0.993151
0.4;0.993197
0.40274;0.993243
0.405479;0.993289
0.408219;0.993333
0.410959;0.993377
0.413699;0.993421
0.416438;0.993464
0.419178;0.993506
0.421918;0.993548
0.424658;0.99359
0.427397;0.993631
0.427397;0.987342
0.430137;0.987421
0.432877;0.9875
0.435616;0.987578
0.438356;0.987654
0.441096;0.98773
0.443836;0.987805
0.446575;0.987879
0.449315;0.987952
0.452055;0.988024
0.454795;0.988095
0.457534;0.988166
0.460274;0.988235
0.463014;0.988304
0.465753;0.988372
0.468493;0.988439
0.471233;0.988506
0.473973;0.988571
0.476712;0.988636
0.479452;0.988701
0.482192;0.988764
0.482192;0.98324
0.484932;0.983333
0.487671;0.983425
0.490411;0.983516
0.493151;0.983607
0.49589;0.983696
0.49863;0.983784
0.50137;0.983871
0.50411;0.983957
0.506849;0.984043
0.509589;0.984127
0.512329;0.984211
0.515068;0.984293
0.517808;0.984375
0.520548;0.984456
0.523288;0.984536
0.526027;0.984615
0.528767;0.984694
0.531507;0.984772
0.534247;0.984848
0.536986;0.984925
0.539726;0.985
0.542466;0.985075
0.545205;0.985149
0.545205;0.980296
0.547945;0.980392
0.550685;0.980488
0.553425;0.980583
0.556164;0.980676
0.558904;0.980769
0.561644;0.980861
0.564384;0.980952
0.567123;0.981043
0.569863;0.981132
0.572603;0.981221
0.575342;0.981308
0.578082;0.981395
0.578082;0.976852
0.580822;0.976959
0.583562;0.977064
0.586301;0.977169
0.589041;0.977273
0.591781;0.977376
0.594521;0.977477
0.59726;0.977578
0.6;0.977679
0.6;0.973333
0.60274;0.973451
0.605479;0.973568
0.608219;0.973684
0.608219;0.969432
0.608219;0.965217
0.610959;0.965368
0.613699;0.965517
0.613699;0.961373
0.616438;0.961538
0.616438;0.957447
0.619178;0.957627
0.621918;0.957806
0.621918;0.953782
0.621918;0.949791
0.624658;0.95
0.624658;0.946058
0.627397;0.946281
0.630137;0.946502
0.630137;0.942623
0.630137;0.938776
0.630137;0.934959
0.632877;0.935223
0.635616;0.935484
0.638356;0.935743
0.638356;0.932
0.638356;0.928287
0.641096;0.928571
0.643836;0.928854
0.646575;0.929134
0.649315;0.929412
0.649315;0.925781
0.649315;0.922179
0.649315;0.918605
0.649315;0.915058
0.649315;0.911538
0.649315;0.908046
0.649315;0.90458
0.649315;0.901141
0.649315;0.897727
0.652055;0.898113
0.654795;0.898496
0.657534;0.898876
0.660274;0.899254
0.663014;0.899628
0.663014;0.896296
0.663014;0.892989
0.665753;0.893382
0.668493;0.893773
0.671233;0.894161
0.673973;0.894545
0.676712;0.894928
0.676712;0.891697
0.679452;0.892086
0.679452;0.888889
0.679452;0.885714
0.682192;0.886121
0.682192;0.882979
0.684932;0.883392
0.684932;0.880282
0.684932;0.877193
0.687671;0.877622
0.690411;0.878049
0.690411;0.875
0.690411;0.871972
0.690411;0.868966
0.690411;0.865979
0.690411;0.863014
0.693151;0.863481
0.693151;0.860544
0.693151;0.857627
0.69589;0.858108
0.69589;0.855219
0.69863;0.855705
0.70137;0.856187
0.70137;0.853333
0.70137;0.850498
0.70137;0.847682
0.70137;0.844884
0.70137;0.842105
0.70411;0.842623
0.706849;0.843137
0.709589;0.843648
0.709589;0.840909
0.709589;0.838188
0.709589;0.835484
0.709589;0.832797
0.709589;0.830128
0.712329;0.830671
0.712329;0.828025
0.712329;0.825397
0.715068;0.825949
0.717808;0.826498
0.717808;0.823899
0.717808;0.821317
0.717808;0.81875
0.717808;0.816199
0.717808;0.813665
0.717808;0.811146
0.717808;0.808642
0.717808;0.806154
0.717808;0.803681
0.717808;0.801223
0.720548;0.801829
0.720548;0.799392
0.720548;0.79697
0.723288;0.797583
0.723288;0.795181
0.726027;0.795796
0.726027;0.793413
0.726027;0.791045
0.728767;0.791667
0.728767;0.789318
0.728767;0.786982
0.728767;0.784661
0.728767;0.782353
0.728767;0.780059
0.728767;0.777778
0.728767;0.77551
0.728767;0.773256
0.728767;0.771014
0.728767;0.768786
0.728767;0.766571
0.728767;0.764368
0.728767;0.762178
0.731507;0.762857
0.731507;0.760684
0.731507;0.758523
0.731507;0.756374
0.731507;0.754237
0.731507;0.752113
0.731507;0.75
0.734247;0.7507
0.734247;0.748603
0.734247;0.746518
0.734247;0.744444
0.734247;0.742382
0.734247;0.740331
0.734247;0.738292
0.734247;0.736264
0.734247;0.734247
0.736986;0.734973
0.736986;0.73297
0.736986;0.730978
0.739726;0.731707
0.739726;0.72973
0.739726;0.727763
0.739726;0.725806
0.739726;0.723861
0.742466;0.724599
0.742466;0.722667
0.742466;0.720745
0.742466;0.718833
0.742466;0.716931
0.742466;0.71504
0.742466;0.713158
0.742466;0.711286
0.742466;0.709424
0.745205;0.710183
0.745205;0.708333
0.745205;0.706494
0.745205;0.704663
0.745205;0.702842
0.747945;0.703608
0.750685;0.70437
0.750685;0.702564
0.753425;0.703325
0.753425;0.701531
0.753425;0.699746
0.753425;0.69797
0.753425;0.696203
0.756164;0.69697
0.756164;0.695214
0.756164;0.693467
0.756164;0.691729
0.756164;0.69
0.756164;0.688279
0.756164;0.686567
0.756164;0.684864
0.756164;0.683168
0.756164;0.681481
0.756164;0.679803
0.756164;0.678133
0.756164;0.676471
0.756164;0.674817
0.756164;0.673171
0.756164;0.671533
0.756164;0.669903
0.756164;0.668281
0.756164;0.666667
0.756164;0.66506
0.756164;0.663462
0.756164;0.661871
0.758904;0.662679
0.758904;0.661098
0.761644;0.661905
0.761644;0.660333
0.761644;0.658768
0.761644;0.65721
0.761644;0.65566
0.764384;0.656471
0.767123;0.657277
0.767123;0.655738
0.767123;0.654206
0.767123;0.652681
0.767123;0.651163
0.767123;0.649652
0.767123;0.648148
0.767123;0.646651
0.767123;0.645161
0.767123;0.643678
0.767123;0.642202
0.767123;0.640732
0.767123;0.639269
0.767123;0.637813
0.767123;0.636364
0.767123;0.634921
0.767123;0.633484
0.767123;0.632054
0.767123;0.630631
0.767123;0.629213
0.767123;0.627803
0.767123;0.626398
0.767123;0.625
0.767123;0.623608
0.767123;0.622222
0.767123;0.620843
0.767123;0.619469
0.767123;0.618102
0.767123;0.61674
0.769863;0.617582
0.769863;0.616228
0.769863;0.61488
0.769863;0.613537
0.769863;0.6122
0.769863;0.61087
0.769863;0.609544
0.769863;0.608225
0.772603;0.609071
0.772603;0.607759
0.772603;0.606452
0.772603;0.60515
0.772603;0.603854
0.772603;0.602564
0.772603;0.601279
0.772603;0.6
0.772603;0.598726
0.772603;0.597458
0.772603;0.596195
0.772603;0.594937
0.772603;0.593684
0.772603;0.592437
0.772603;0.591195
0.772603;0.589958
0.772603;0.588727
0.772603;0.5875
0.772603;0.586279
0.775342;0.587137
0.778082;0.587992
0.778082;0.586777
0.780822;0.587629
0.780822;0.58642
0.780822;0.585216
0.780822;0.584016
0.783562;0.584867
0.783562;0.583673
0.783562;0.582485
0.783562;0.581301
0.783562;0.580122
0.783562;0.578947
0.783562;0.577778
0.783562;0.576613
0.783562;0.575453
0.783562;0.574297
0.783562;0.573146
0.783562;0.572
0.783562;0.570858
