x;y
0.00413223;1
0.00826446;1
0.0123967;1
0.0165289;1
0.0206612;1
0.0247934;1
0.0289256;1
0.0330579;1
0.0371901;1
0.0413223;1
0.0454545;1
0.0495868;1
0.053719;1
0.0578512;1
0.0619835;1
0.0661157;1
0.0702479;1
0.0743802;1
0.0785124;1
0.0826446;1
0.0867769;1
0.0909091;1
0.0950413;1
0.0991736;1
0.103306;1
0.107438;1
0.11157;1
0.115702;1
0.119835;1
0.123967;1
0.128099;1
0.132231;1
0.136364;1
0.140496;1
0.144628;1
0.14876;1
0.152893;1
0.157025;1
0.161157;1
0.165289;1
0.169421;1
0.173554;1
0.177686;1
0.181818;1
0.18595;1
0.190083;1
0.194215;1
0.198347;1
0.202479;1
0.206612;1
0.210744;1
0.214876;1
0.219008;1
0.22314;1
0.227273;1
0.231405;1
0.235537;1
0.239669;1
0.243802;1
0.247934;1
0.252066;1
0.252066;0.983871
0.256198;0.984127
0.260331;0.984375
0.264463;0.984615
0.268595;0.984848
0.272727;0.985075
0.27686;0.985294
0.280992;0.985507
0.285124;0.985714
0.289256;0.985915
0.293388;0.986111
0.297521;0.986301
0.301653;0.986486
0.305785;0.986667
0.309917;0.986842
0.309917;0.974026
0.31405;0.974359
0.318182;0.974684
0.322314;0.975
0.326446;0.975309
0.330579;0.97561
0.334711;0.975904
0.338843;0.97619
0.338843;0.964706
0.342975;0.965116
0.347107;0.965517
0.35124;0.965909
0.355372;0.966292
0.359504;0.966667
0.363636;0.967033
0.367769;0.967391
0.371901;0.967742
0.376033;0.968085
0.380165;0.968421
0.380165;0.958333
0.380165;0.948454
0.384298;0.94898
0.38843;0.949495
0.392562;0.95
0.396694;0.950495
0.400826;0.95098
0.404959;0.951456
0.409091;0.951923
0.413223;0.952381
0.413223;0.943396
0.417355;0.943925
0.421488;0.944444
0.42562;0.944954
0.429752;0.945455
0.433884;0.945946
0.438017;0.946429
0.442149;0.946903
0.446281;0.947368
0.450413;0.947826
0.454545;0.948276
0.454545;0.940171
0.458678;0.940678
0.46281;0.941176
0.466942;0.941667
0.471074;0.942149
0.475207;0.942623
0.479339;0.943089
0.483471;0.943548
0.487603;0.944
0.491736;0.944444
0.491736;0.937008
0.495868;0.9375
0.495868;0.930233
0.5;0.930769
0.5;0.923664
0.504132;0.924242
0.504132;0.917293
0.508264;0.91791
0.512397;0.918519
0.516529;0.919118
0.520661;0.919708
0.520661;0.913043
0.524793;0.913669
0.528926;0.914286
0.533058;0.914894
0.533058;0.908451
0.533058;0.902098
0.53719;0.902778
0.53719;0.896552
0.541322;0.89726
0.545455;0.897959
0.545455;0.891892
0.545455;0.885906
0.549587;0.886667
0.549587;0.880795
0.553719;0.881579
0.557851;0.882353
0.557851;0.876623
0.557851;0.870968
0.561983;0.871795
0.561983;0.866242
0.561983;0.860759
0.561983;0.855346
0.566116;0.85625
0.570248;0.857143
0.57438;0.858025
0.57438;0.852761
0.578512;0.853659
0.578512;0.848485
0.582645;0.849398
0.582645;0.844311
0.586777;0.845238
0.586777;0.840237
0.586777;0.835294
0.586777;0.830409
0.586777;0.825581
0.586777;0.820809
0.586777;0.816092
0.590909;0.817143
0.590909;0.8125
0.590909;0.80791
0.590909;0.803371
0.590909;0.798883
0.595041;0.8
0.595041;0.79558
0.595041;0.791209
0.595041;0.786885
0.595041;0.782609
0.599174;0.783784
0.603306;0.784946
0.603306;0.780749
0.607438;0.781915
0.61157;0.783069
0.61157;0.778947
0.61157;0.774869
0.61157;0.770833
0.61157;0.766839
0.61157;0.762887
0.61157;0.758974
0.615702;0.760204
0.619835;0.761421
0.619835;0.757576
0.619835;0.753769
0.623967;0.755
0.628099;0.756219
0.632231;0.757426
0.632231;0.753695
0.632231;0.75
0.632231;0.746341
0.636364;0.747573
0.636364;0.743961
0.636364;0.740385
0.636364;0.736842
0.640496;0.738095
0.640496;0.734597
0.640496;0.731132
0.640496;0.7277
0.640496;0.724299
0.644628;0.725581
0.644628;0.722222
0.644628;0.718894
0.644628;0.715596
0.644628;0.712329
0.64876;0.713636
0.64876;0.710407
0.64876;0.707207
0.64876;0.704036
0.64876;0.700893
0.64876;0.697778
0.64876;0.69469
