x;y
0.00480769;1
0.00961538;1
0.0144231;1
0.0192308;1
0.0240385;1
0.0288462;1
0.0336538;1
0.0384615;1
0.0432692;1
0.0480769;1
0.0528846;1
0.0576923;1
0.0625;1
0.0673077;1
0.0721154;1
0.0769231;1
0.0817308;1
0.0865385;1
0.0913462;1
0.0961538;1
0.100962;1
0.105769;1
0.110577;1
0.115385;1
0.120192;1
0.125;1
0.129808;1
0.134615;1
0.139423;1
0.144231;1
0.149038;1
0.153846;1
0.158654;1
0.163462;1
0.163462;0.971429
0.168269;0.972222
0.173077;0.972973
0.177885;0.973684
0.182692;0.974359
0.1875;0.975
0.192308;0.97561
0.197115;0.97619
0.197115;0.953488
0.201923;0.954545
0.206731;0.955556
0.211538;0.956522
0.216346;0.957447
0.221154;0.958333
0.225962;0.959184
0.230769;0.96
0.235577;0.960784
0.240385;0.961538
0.245192;0.962264
0.25;0.962963
0.254808;0.963636
0.259615;0.964286
0.264423;0.964912
0.269231;0.965517
0.274038;0.966102
0.278846;0.966667
0.283654;0.967213
0.288462;0.967742
0.293269;0.968254
0.298077;0.96875
0.302885;0.969231
0.307692;0.969697
0.3125;0.970149
0.317308;0.970588
0.322115;0.971014
0.326923;0.971429
0.331731;0.971831
0.336538;0.972222
0.341346;0.972603
0.346154;0.972973
0.350962;0.973333
0.355769;0.973684
0.360577;0.974026
0.365385;0.974359
0.370192;0.974684
0.375;0.975
0.379808;0.975309
0.384615;0.97561
0.389423;0.975904
0.394231;0.97619
0.399038;0.976471
0.403846;0.976744
0.408654;0.977011
0.413462;0.977273
0.418269;0.977528
0.423077;0.977778
0.427885;0.978022
0.432692;0.978261
0.432692;0.967742
0.4375;0.968085
0.4375;0.957895
0.442308;0.958333
0.447115;0.958763
0.451923;0.959184
0.456731;0.959596
0.461538;0.96
0.466346;0.960396
0.471154;0.960784
0.471154;0.951456
0.475962;0.951923
0.480769;0.952381
0.485577;0.95283
0.490385;0.953271
0.495192;0.953704
0.5;0.954128
0.5;0.945455
0.504808;0.945946
0.509615;0.946429
0.514423;0.946903
0.514423;0.938596
0.519231;0.93913
0.524038;0.939655
0.528846;0.940171
0.533654;0.940678
0.538462;0.941176
0.543269;0.941667
0.548077;0.942149
0.552885;0.942623
0.557692;0.943089
0.5625;0.943548
0.567308;0.944
0.572115;0.944444
0.576923;0.944882
0.581731;0.945312
0.586538;0.945736
0.586538;0.938462
0.591346;0.938931
0.596154;0.939394
0.596154;0.932331
0.600962;0.932836
0.605769;0.933333
0.610577;0.933824
0.615385;0.934307
0.615385;0.927536
0.620192;0.928058
0.625;0.928571
0.625;0.921986
0.629808;0.922535
