x;y
0.00390625;1
0.0078125;1
0.0117188;1
0.015625;1
0.0195312;1
0.0234375;1
0.0273438;1
0.03125;1
0.0351562;1
0.0390625;1
0.0429688;1
0.046875;1
0.0507812;1
0.0546875;1
0.0585938;1
0.0625;1
0.0664062;1
0.0703125;1
0.0742188;1
0.078125;1
0.0820312;1
0.0859375;1
0.0898438;1
0.09375;1
0.0976562;1
0.101562;1
0.105469;1
0.109375;1
0.113281;1
0.117188;1
0.121094;1
0.125;1
0.128906;1
0.132812;1
0.136719;1
0.140625;1
0.144531;1
0.148438;1
0.152344;1
0.15625;1
0.160156;1
0.164062;1
0.167969;1
0.171875;1
0.175781;1
0.179688;1
0.183594;1
0.1875;1
0.191406;1
0.195312;1
0.199219;1
0.203125;1
0.207031;1
0.210938;1
0.214844;1
0.21875;1
0.222656;1
0.226562;1
0.230469;1
0.234375;1
0.238281;1
0.242188;1
0.246094;1
0.25;1
0.253906;1
0.257812;1
0.261719;1
0.265625;1
0.269531;1
0.273438;1
0.277344;1
0.28125;1
0.285156;1
0.289062;1
0.292969;1
0.296875;1
0.300781;1
0.304688;1
0.308594;1
0.3125;1
0.316406;1
0.320312;1
0.328125;1
0.332031;1
0.335938;1
0.339844;1
0.34375;1
0.347656;1
0.351562;1
0.355469;1
0.359375;1
0.363281;1
0.367188;1
0.371094;1
0.375;1
0.378906;1
0.382812;1
0.386719;1
0.390625;1
0.394531;1
0.398438;1
0.402344;1
0.40625;1
0.410156;1
0.414062;1
0.417969;1
0.421875;1
0.425781;1
0.429688;1
0.433594;1
0.4375;1
0.441406;1
0.445312;1
0.449219;1
0.453125;1
0.457031;1
0.460938;1
0.464844;1
0.46875;1
0.472656;1
0.476562;1
0.480469;1
0.484375;1
0.488281;1
0.492188;1
0.496094;1
0.5;1
0.503906;1
0.507812;1
0.511719;1
0.515625;1
0.519531;1
0.523438;1
0.527344;1
0.53125;1
0.535156;1
0.539062;1
0.542969;1
0.546875;1
0.550781;1
0.554688;1
0.558594;1
0.5625;1
0.566406;1
0.570312;1
0.574219;1
0.578125;1
0.582031;1
0.585938;1
0.589844;1
0.59375;1
0.597656;1
0.601562;1
0.605469;1
0.609375;1
0.609375;0.993631
0.613281;0.993671
0.617188;0.993711
0.621094;0.99375
0.625;0.993789
