x;y
0.00145773;1
0.00291545;1
0.00437318;1
0.0058309;1
0.00728863;1
0.00874636;1
0.0102041;1
0.0116618;1
0.0131195;1
0.0145773;1
0.016035;1
0.0174927;1
0.0189504;1
0.0204082;1
0.0218659;1
0.0233236;1
0.0247813;1
0.0262391;1
0.0276968;1
0.0291545;1
0.0306122;1
0.03207;1
0.0335277;1
0.0349854;1
0.0364431;1
0.0379009;1
0.0393586;1
0.0408163;1
0.0422741;1
0.0437318;1
0.0451895;1
0.0466472;1
0.048105;1
0.0495627;1
0.0510204;1
0.0524781;1
0.0539359;1
0.0553936;1
0.0568513;1
0.058309;1
0.0597668;1
0.0612245;1
0.0626822;1
0.0641399;1
0.0655977;1
0.0670554;1
0.0685131;1
0.0699708;1
0.0714286;1
0.0728863;1
0.074344;1
0.0758017;1
0.0772595;1
0.0787172;1
0.0801749;1
0.0816327;1
0.0830904;1
0.0845481;1
0.0860058;1
0.0874636;1
0.0889213;1
0.090379;1
0.0918367;1
0.0932945;1
0.0947522;1
0.0962099;1
0.0976676;1
0.0991254;1
0.100583;1
0.102041;1
0.103499;1
0.104956;1
0.106414;1
0.107872;1
0.109329;1
0.110787;1
0.112245;1
0.113703;1
0.11516;1
0.116618;1
0.118076;1
0.119534;1
0.120991;1
0.122449;1
0.123907;1
0.125364;1
0.126822;1
0.12828;1
0.129738;1
0.131195;1
0.132653;1
0.134111;1
0.135569;1
0.137026;1
0.138484;1
0.139942;1
0.141399;1
0.142857;1
0.144315;1
0.145773;1
0.14723;1
0.148688;1
0.150146;1
0.151603;1
0.153061;1
0.154519;1
0.155977;1
0.157434;1
0.158892;1
0.16035;1
0.161808;1
0.163265;1
0.164723;1
0.166181;1
0.167638;1
0.169096;1
0.170554;1
0.172012;1
0.173469;1
0.174927;1
0.176385;1
0.177843;1
0.1793;1
0.180758;1
0.182216;1
0.183673;1
0.185131;1
0.186589;1
0.188047;1
0.189504;1
0.190962;1
0.19242;1
0.193878;1
0.195335;1
0.196793;1
0.198251;1
0.199708;1
0.201166;1
0.202624;1
0.204082;1
0.205539;1
0.206997;1
0.208455;1
0.209913;1
0.21137;1
0.212828;1
0.214286;1
0.215743;1
0.217201;1
0.218659;1
0.220117;1
0.221574;1
0.223032;1
0.22449;1
0.225948;1
0.227405;1
0.228863;1
0.230321;1
0.231778;1
0.233236;1
0.234694;1
0.236152;1
0.237609;1
0.239067;1
0.240525;1
0.241983;1
0.24344;1
0.244898;1
0.246356;1
0.247813;1
0.249271;1
0.250729;1
0.252187;1
0.253644;1
0.255102;1
0.25656;1
0.258017;1
0.259475;1
0.260933;1
0.262391;1
0.263848;1
0.265306;1
0.266764;1
0.268222;1
0.269679;1
0.271137;1
0.272595;1
0.274052;1
0.27551;1
0.276968;1
0.278426;1
0.279883;1
0.281341;1
0.282799;1
0.284257;1
0.285714;1
0.287172;1
0.28863;1
0.290087;1
0.291545;1
0.293003;1
0.294461;1
0.295918;1
0.297376;1
0.298834;1
0.300292;1
0.301749;1
0.303207;1
0.304665;1
0.306122;1
0.30758;1
0.309038;1
0.310496;1
0.311953;1
0.313411;1
0.314869;1
0.316327;1
0.317784;1
0.319242;1
0.3207;1
0.322157;1
0.323615;1
0.325073;1
0.326531;1
0.327988;1
0.329446;1
0.330904;1
0.332362;1
0.333819;1
0.335277;1
0.336735;1
0.338192;1
0.33965;1
0.341108;1
0.342566;1
0.344023;1
0.345481;1
0.346939;1
0.348397;1
0.349854;1
0.351312;1
0.35277;1
0.354227;1
0.355685;1
0.357143;1
0.358601;1
0.360058;1
0.361516;1
0.362974;1
0.364431;1
0.365889;1
0.367347;1
0.368805;1
0.370262;1
0.37172;1
0.373178;1
0.374636;1
0.376093;1
0.377551;1
0.379009;1
0.380466;1
0.381924;1
0.383382;1
0.38484;1
0.386297;1
0.387755;1
0.389213;1
0.390671;1
0.392128;1
0.393586;1
0.395044;1
0.396501;1
0.397959;1
0.399417;1
0.400875;1
0.402332;1
0.40379;1
0.405248;1
0.406706;1
0.408163;1
0.409621;1
0.411079;1
0.412536;1
0.413994;1
0.415452;1
0.41691;1
0.418367;1
0.419825;1
0.421283;1
0.422741;1
0.424198;1
0.425656;1
0.427114;1
0.428571;1
0.430029;1
0.431487;1
0.432945;1
0.434402;1
0.43586;1
0.437318;1
0.438776;1
0.440233;1
0.441691;1
0.443149;1
0.444606;1
0.446064;1
0.447522;1
0.44898;1
0.450437;1
0.451895;1
0.453353;1
0.45481;1
0.456268;1
0.457726;1
0.459184;1
0.460641;1
0.462099;1
0.463557;1
0.465015;1
0.466472;1
0.46793;1
0.469388;1
0.470845;1
0.472303;1
0.473761;1
0.475219;1
0.476676;1
0.478134;1
0.479592;1
0.48105;1
0.482507;1
0.483965;1
0.485423;1
0.48688;1
0.488338;1
0.489796;1
0.491254;1
0.492711;1
0.494169;1
0.495627;1
0.497085;1
0.498542;1
0.5;1
0.501458;1
0.502915;1
0.504373;1
0.505831;1
0.507289;1
0.508746;1
0.510204;1
0.511662;1
0.51312;1
0.514577;1
0.516035;1
0.517493;1
0.51895;1
0.520408;1
0.521866;1
0.523324;1
0.524781;1
0.526239;1
0.527697;1
0.529155;1
0.530612;1
0.53207;1
0.533528;1
0.534985;1
0.536443;1
0.537901;1
0.539359;1
0.540816;1
0.542274;1
0.543732;1
0.54519;1
0.546647;1
0.548105;1
